timestamp,temperature_2m,relativehumidity_2m,precipitation,pressure_msl,windspeed_10m,winddirection_10m,boundary_layer_height,shortwave_radiation_sum,hour_of_day,day_of_week,month_of_year,is_weekend,co,no,no2,nox,o3,pm10,pm25,so2,pm25_prediction,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h
2024-01-01 23:00:00-08:00,7.003,82.07675,0.0,1020.9,7.172949,17.52567,490.0,11.39,23,0,1,False,0.6,0.0052,0.0271,0.0322,0.003,22.0,15.8,0.0003,20.2,9.7,7.9,6.7,39.6
2024-01-02 00:00:00-08:00,6.6029997,82.31338,0.0,1021.3,6.725354,15.524177,490.0,11.13,0,1,1,False,0.8,0.0186999999999999,0.028,0.0466,0.0,25.0,19.0,0.0001,22.2,17.0,9.0,6.9,48.4
2024-01-02 01:00:00-08:00,6.3529997,82.28105,0.0,1021.8,6.6185193,22.380184,490.0,11.13,1,1,1,False,0.6,0.0121999999999999,0.0249,0.0371,0.0,17.0,12.6,0.0,23.2,16.4,6.4,6.6,55.2
2024-01-02 02:00:00-08:00,7.2029996,75.72502,0.0,1022.0,9.793059,36.027473,490.0,11.13,2,1,1,False,0.7,0.0155,0.0252,0.0406,0.0,20.0,16.0,0.0,24.1,15.8,9.7,4.0,52.8
2024-01-02 03:00:00-08:00,7.2029996,75.45796,0.0,1021.8,8.404285,43.26433,490.0,11.13,3,1,1,False,0.6,0.0119,0.0238,0.0356,0.0,17.0,10.7,0.0001,23.6,19.0,17.0,2.8,32.9
2024-01-02 04:00:00-08:00,8.853001,62.833374,0.0,1021.8,5.6002855,44.999897,490.0,11.13,4,1,1,False,0.6,0.0261,0.024,0.0499,0.0,14.0,12.9,0.0001,18.0,12.6,16.4,5.9,30.5
2024-01-02 05:00:00-08:00,11.953,51.463287,0.0,1022.1,4.3349743,85.23644,490.0,11.13,5,1,1,False,0.6,0.0386,0.025,0.0635,0.0,12.0,14.1,0.0001,13.8,16.0,15.8,7.9,25.1
2024-01-02 06:00:00-08:00,7.6029997,73.165436,0.0,1023.0,9.021574,61.389645,490.0,11.13,6,1,1,False,0.7,0.039,0.0243999999999999,0.0633,0.0,15.0,12.1,0.0001,14.8,10.7,19.0,9.0,21.7
2024-01-02 07:00:00-08:00,7.753,70.14939,0.0,1023.7,11.246759,50.194473,490.0,11.13,7,1,1,False,0.8,0.0482999999999999,0.0266,0.0747999999999999,0.0,16.0,9.5,0.0002,12.4,12.9,12.6,6.4,23.1
2024-01-02 08:00:00-08:00,9.853001,66.256584,0.0,1023.9,11.592895,64.23073,490.0,11.13,8,1,1,False,1.0,0.0705,0.0287,0.0991,0.001,21.0,13.8,0.0003,11.6,14.1,16.0,9.7,17.8
2024-01-02 09:00:00-08:00,12.303,64.74327,0.0,1024.4,9.0645685,83.15732,490.0,11.13,9,1,1,False,1.0,0.0713,0.0308,0.1018,0.002,27.0,15.1,0.0004,11.4,12.1,10.7,17.0,14.1
2024-01-02 10:00:00-08:00,14.553,59.70043,0.0,1024.9,9.0645685,96.84268,490.0,11.13,10,1,1,False,0.5,0.0273,0.023,0.0502,0.013,20.0,10.2,0.0002,7.9,9.5,12.9,16.4,10.2
2024-01-02 11:00:00-08:00,15.553,65.901535,0.0,1024.5,8.373386,115.46331,490.0,11.13,11,1,1,False,0.3,0.0118,0.0159,0.0276,0.023,18.0,8.5,0.0001,3.7,13.8,14.1,15.8,6.7
2024-01-02 12:00:00-08:00,16.303,68.078636,0.0,1023.7,7.653705,131.18582,490.0,11.13,12,1,1,False,0.3,0.0039,0.0103,0.0141999999999999,0.029,14.0,7.9,0.0001,2.2,15.1,12.1,19.0,6.9
2024-01-02 13:00:00-08:00,16.753,68.85285,0.0,1023.1,5.495161,148.39255,490.0,11.13,13,1,1,False,0.3,0.0045,0.0126,0.0171,0.03,21.0,6.2,0.0001,4.7,10.2,9.5,12.6,6.6
