timestamp,temperature_2m,relativehumidity_2m,precipitation,pressure_msl,windspeed_10m,winddirection_10m,boundary_layer_height,shortwave_radiation_sum,hour_of_day,day_of_week,month_of_year,is_weekend,co,no,no2,nox,o3,pm25,so2,pm25_prediction,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h
2023-01-02 00:00:00-06:00,8.622,86.95404,0.0,1019.8,7.69592,259.21576,35.0,16.78,0,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 01:00:00-06:00,7.522,91.78556,0.0,1019.5,7.342588,281.3099,35.0,16.78,1,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 02:00:00-06:00,7.022,93.67618,0.0,1019.7,8.217153,298.8107,40.0,16.78,2,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 03:00:00-06:00,6.672,93.65898,0.0,1019.5,7.8954163,294.22772,40.0,16.78,3,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 04:00:00-06:00,6.3719997,92.99638,0.0,1019.4,6.725354,285.52417,35.0,16.78,4,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 05:00:00-06:00,6.022,92.33185,0.0,1019.7,6.924738,278.97253,35.0,16.78,5,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 06:00:00-06:00,6.1219997,90.11122,0.0,1019.5,8.654986,253.0724,30.0,16.78,6,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 07:00:00-06:00,6.472,86.74304,0.0,1019.7,9.726664,231.009,35.0,16.78,7,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 08:00:00-06:00,8.472,79.460526,0.0,1020.2,8.587338,213.02386,55.0,16.78,8,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 09:00:00-06:00,12.922,64.43609,0.0,1020.8,6.849467,176.98727,115.0,16.78,9,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 10:00:00-06:00,16.022001,51.841106,0.0,1020.1,14.512064,150.2552,490.0,16.78,10,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 11:00:00-06:00,18.272001,44.96169,0.0,1018.7,15.646544,156.97447,1470.0,16.78,11,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 12:00:00-06:00,19.972,37.472992,0.0,1017.0,20.06334,170.70677,1880.0,16.78,12,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 13:00:00-06:00,20.922,33.65421,0.0,1015.2,22.3229,179.07597,2175.0,16.78,13,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 14:00:00-06:00,21.122002,32.895782,0.0,1014.0,21.599998,180.0,2315.0,16.78,14,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 15:00:00-06:00,21.022001,30.958296,0.0,1013.2,20.265795,192.308,2325.0,16.78,15,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 16:00:00-06:00,19.922,34.56274,0.0,1013.8,22.668568,190.06062,2280.0,16.78,16,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 17:00:00-06:00,18.622002,41.47264,0.0,1014.6,21.96295,179.06084,2080.0,16.78,17,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 18:00:00-06:00,17.022001,47.485233,0.0,1015.4,19.469975,160.55988,1110.0,16.78,18,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 19:00:00-06:00,14.822,55.79482,0.0,1017.0,16.055353,160.34608,370.0,16.78,19,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 20:00:00-06:00,12.822,67.126305,0.0,1018.3,9.19939,149.42085,310.0,16.78,20,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 21:00:00-06:00,12.172,68.38661,0.0,1019.0,8.699793,114.44395,205.0,16.78,21,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
2023-01-02 22:00:00-06:00,11.322,70.123604,0.0,1019.7,6.725354,105.52418,105.0,16.78,22,0,1,False,0.3,0.005,0.028,0.033,0.099,37.0,0.003,37.0,37.0,37.0,37.0,37.0
