timestamp,temperature_2m,relativehumidity_2m,precipitation,pressure_msl,windspeed_10m,winddirection_10m,boundary_layer_height,shortwave_radiation_sum,hour_of_day,day_of_week,month_of_year,is_weekend,co,no,no2,nox,o3,pm25,so2
2023-01-01 00:00:00-06:00,9.322,83.51605,0.0,1020.7,7.9932976,277.76508,25.0,17.61,0,6,1,True,,,,,,,
2023-01-01 01:00:00-06:00,8.572,85.76039,0.0,1020.4,9.504273,294.62354,25.0,17.61,1,6,1,True,,,,,,,
2023-01-01 02:00:00-06:00,8.072,87.201035,0.0,1020.6,7.9036193,300.06848,30.0,17.61,2,6,1,True,,,,,,,
2023-01-01 03:00:00-06:00,7.772,86.27172,0.0,1020.7,5.00128,300.25635,30.0,17.61,3,6,1,True,,,,,,,
2023-01-01 04:00:00-06:00,8.272,80.82539,0.0,1020.8,4.0249224,280.30478,30.0,17.61,4,6,1,True,,,,,,,
2023-01-01 05:00:00-06:00,7.472,83.58296,0.0,1021.0,5.5887027,284.93146,30.0,17.61,5,6,1,True,,,,,,,
2023-01-01 06:00:00-06:00,6.822,86.47554,0.0,1021.9,5.95906,295.01685,35.0,17.61,6,6,1,True,,,,,,,
2023-01-01 07:00:00-06:00,6.6219997,85.55309,0.0,1022.4,6.12,298.0724,35.0,17.61,7,6,1,True,,,,,,,
2023-01-01 08:00:00-06:00,8.522,76.47981,0.0,1023.2,4.1046314,307.87503,40.0,17.61,8,6,1,True,,,,,,,
2023-01-01 09:00:00-06:00,10.472,73.941315,0.0,1023.8,2.52,360.0,115.0,17.61,9,6,1,True,,,,,,,
2023-01-01 10:00:00-06:00,13.172,64.05021,0.0,1023.2,1.484318,14.036275,440.0,17.61,10,6,1,True,,,,,,,
2023-01-01 11:00:00-06:00,15.372,56.12834,0.0,1021.8,0.8049845,116.56499,890.0,17.61,11,6,1,True,,,,,,,
2023-01-01 12:00:00-06:00,17.072,49.848675,0.0,1019.9,2.0364676,135.0001,1460.0,17.61,12,6,1,True,,,,,,,
2023-01-01 13:00:00-06:00,18.122002,47.300743,0.0,1017.9,2.4149535,153.43501,1795.0,17.61,13,6,1,True,,,,,,,
2023-01-01 14:00:00-06:00,19.622002,41.47154,0.0,1015.7,6.924738,188.97255,1995.0,17.61,14,6,1,True,,,,,,,
2023-01-01 15:00:00-06:00,20.272001,38.74944,0.0,1014.8,10.853866,185.7105,2235.0,17.61,15,6,1,True,,,,,,,
